date,min,max,mean,stDev
2020-02-01,1.969518962141592e-05,5.892182525712997e-05,3.786076300946369e-05,1.2217946235194733e-05
2020-02-02,1.2963011613464914e-05,3.517211735015735e-05,2.4710337678281176e-05,7.552903539966107e-06
2020-02-03,NaN,NaN,NaN,NaN
2020-02-04,1.351293485640781e-05,5.6977951317094266e-05,3.188201653689868e-05,8.736396556330319e-06
2020-02-05,1.940951551659964e-05,4.123349572182633e-05,2.7084093300903218e-05,7.069071440280777e-06
2020-02-06,NaN,NaN,NaN,NaN
2020-02-07,NaN,NaN,NaN,NaN
2020-02-08,1.7676595234661363e-05,4.24785066570621e-05,3.882348813165566e-05,8.791603112817356e-06
2020-02-09,NaN,NaN,NaN,NaN
2020-02-10,NaN,NaN,NaN,NaN
2020-02-11,2.6352311124355765e-06,7.014528819127008e-05,4.107734536493062e-05,1.8033317844621887e-05
2020-02-12,1.4502856174658518e-05,9.26172433537431e-05,4.850804859143563e-05,2.2680686640076028e-05
2020-02-13,NaN,NaN,NaN,NaN
2020-02-14,1.0650920557964128e-05,8.892915502656251e-05,3.828123731359101e-05,1.979507796226964e-05
2020-02-15,1.217286626342684e-05,7.471763092326e-05,3.908147496518708e-05,1.9209511345150757e-05
2020-02-16,2.004732596105896e-05,6.98058502166532e-05,4.153611409233942e-05,1.6812999342481662e-05
2020-02-17,NaN,NaN,NaN,NaN
2020-02-18,8.058967978286091e-06,8.881513349479064e-05,3.4198741529276296e-05,1.5367748888049078e-05
2020-02-19,6.023357855156064e-06,8.416752825723961e-05,3.846557529347998e-05,1.8798153680814726e-05
2020-02-20,9.369449799123686e-06,9.130063699558377e-05,4.086210442866068e-05,2.4852381800684677e-05
2020-02-21,5.169939868210349e-06,7.274212111951783e-05,2.566926873011219e-05,1.1674795290216447e-05
2020-02-22,1.374170824419707e-05,0.00012204693484818563,5.670673325525528e-05,3.352822853536049e-05
2020-02-23,3.905478024535114e-06,3.549022221704945e-05,2.3025959914573458e-05,8.663984733094461e-06
2020-02-24,1.0946683687507175e-05,2.117993608408142e-05,1.502479412162821e-05,4.8719364799117825e-06
2020-02-25,5.7097189198884735e-08,4.3505187932169065e-05,2.9968229742769e-05,1.1019645140293727e-05
2020-02-26,1.1581252692849375e-05,2.473177300998941e-05,1.5983333646468285e-05,6.205750421669105e-06
2020-02-27,9.927138307830319e-06,3.4219076042063534e-05,2.361487486024034e-05,7.639806481692882e-06
2020-02-28,-2.761739779089112e-06,5.893944762647152e-05,3.655141807792427e-05,1.643290927079574e-05
2020-02-29,3.880477379425429e-06,0.00016662008420098573,4.803897762474788e-05,4.038345020196014e-05
2020-03-01,3.1027486784296343e-06,6.385616870829836e-05,2.0518641142212694e-05,1.92345915620834e-05
2020-03-02,2.0887977370875888e-05,0.00014846281555946916,6.414414861991047e-05,2.9553121562321e-05
2020-03-03,1.2621402674994897e-05,3.4426600905135274e-05,2.1675275828807472e-05,6.993020519579394e-06
2020-03-04,NaN,NaN,NaN,NaN
2020-03-05,2.634259726619348e-05,0.0005960292764939368,0.0001993223816248997,0.00014417972283427147
